model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Mixed-type CEM,fold_target,4,subtlety,output_sensitivity,564,0.07111472567767961,0.056504275922255084,0.06124791502952576,-0.7305108602614478,0.0
Mixed-type CEM,fold_target,4,subtlety,error_increase,564,-0.007996138088387518,0.08298326303744029,-0.005056560039520264,-0.5407921556541895,0.09574468085106383
Mixed-type CEM,fold_target,4,texture,output_sensitivity,561,0.07506076346106708,0.061766688706776665,0.06203508377075195,-0.21967127217965968,0.11586452762923351
Mixed-type CEM,fold_target,4,texture,error_increase,561,-0.07328421270571078,0.06381648086236404,-0.06166362762451172,9.81650852547889e-05,0.6274509803921569
Mixed-type CEM,pooled_target,,calcification,output_sensitivity,1916,0.10279151768130027,0.17810255450281445,0.04358828067779541,-0.6843369876087054,0.04801670146137787
Mixed-type CEM,pooled_target,,calcification,error_increase,1916,-0.0407678810847183,0.20000255779404427,-0.0009472966194152832,0.1299337129472193,0.494258872651357
Mixed-type CEM,pooled_target,,internalStructure,output_sensitivity,1747,0.059532883214008896,0.08028375494973458,0.028423309326171875,-0.24077627585916161,0.1688609044075558
Mixed-type CEM,pooled_target,,internalStructure,error_increase,1747,-0.0028373287467186835,0.09990793290917842,-0.004232883453369141,-0.22878579833487753,0.28334287349742415
Mixed-type CEM,pooled_target,,lobulation,output_sensitivity,2486,0.0858894683786294,0.09399025832217146,0.05472901463508606,-0.40819848917112994,0.03901850362027353
Mixed-type CEM,pooled_target,,lobulation,error_increase,2486,-0.0845587085138284,0.09518925492042421,-0.05459558963775635,0.3508518781572916,0.8636363636363636
Mixed-type CEM,pooled_target,,malignancy,output_sensitivity,1267,0.026384711080328537,0.02424784733134468,0.020343899726867676,-0.31843268686601184,0.007103393843725336
Mixed-type CEM,pooled_target,,malignancy,error_increase,1267,0.005181461124749787,0.03414819232234145,0.0025476813316345215,-0.24685963270570754,0.15390686661404893
Mixed-type CEM,pooled_target,,margin,output_sensitivity,2626,0.04611508145549612,0.07477349730157944,0.017849266529083252,-0.33569105291802587,0.0753998476770754
Mixed-type CEM,pooled_target,,margin,error_increase,2626,-0.006132681895090931,0.079164276752043,0.0015622377395629883,-0.2778538977821455,0.37776085300837775
Mixed-type CEM,pooled_target,,sphericity,output_sensitivity,2446,0.027935749498589645,0.033600147519290496,0.014987587928771973,-0.19673578220047208,0.04987735077677841
Mixed-type CEM,pooled_target,,sphericity,error_increase,2446,-0.004755474415319139,0.04056481974572393,-0.002291671931743622,-0.06216001728213013,0.41210139002452983
Mixed-type CEM,pooled_target,,spiculation,output_sensitivity,2633,0.08274041671423327,0.09878484518087981,0.04934334754943848,-0.43922544363907345,0.039118875807064184
Mixed-type CEM,pooled_target,,spiculation,error_increase,2633,-0.08021286669856824,0.10084799557479111,-0.04900115728378296,0.337095003939268,0.8712495252563616
Mixed-type CEM,pooled_target,,subtlety,output_sensitivity,2595,0.042331519091290085,0.04295325109173948,0.028652608394622803,-0.5039405506659794,0.03121387283236994
Mixed-type CEM,pooled_target,,subtlety,error_increase,2595,-0.004468031508002283,0.05634802577015185,-0.0009943246841430664,-0.32320974361440963,0.2901734104046243
Mixed-type CEM,pooled_target,,texture,output_sensitivity,2600,0.034978051369006814,0.04343805121310686,0.018534034490585327,-0.23498480793948356,0.06923076923076923
Mixed-type CEM,pooled_target,,texture,error_increase,2600,-0.01578658509712953,0.052662034822335724,-0.0011185407638549805,-0.127905573370365,0.41192307692307695
Mixed-type CEM,pooled_model,,ALL,output_sensitivity,20316,0.05690002619442157,0.08896784182014186,0.026073575019836426,-0.37349718111195834,0.057934632801732625
Mixed-type CEM,pooled_model,,ALL,error_increase,20316,-0.02846488313194869,0.0999938298237624,-0.006203368306159973,-0.03724599080239795,0.4873990943099035
Learned-softmax GAM,fold_target,0,calcification,output_sensitivity,422,0.16550330881258887,0.1547987520475777,0.12892556190490723,-0.9566287277884322,0.08767772511848342
